album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;4;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;4;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;4;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;4;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;4;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;5;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;5;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;5;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;5;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;7ukSupOZ5C3uvF4j1dRI9D;Trains Song 1-10;2020-11-25;5;Moonbug Entertainment;https://i.scdn.co/image/ab67616d0000b273a3a5ca1fdf5894cb26a63236;0lFDQOEK5OwsyPXb1aWJzY;Little Baby Bum Nursery Rhyme Friends;1 Trains Song 1-10;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
